Product Type,Count,Sample Products,Collections
"Horseware",4,"black-crystal-saddle-pad-dressage; black-crystal-saddle-pad-jump; snow-white-crystal-saddle-pad; pearl-pink-crystal-saddle-pad","on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); jnk-collective (JNK Collective)"
"Lunge Line",4,"deep-blue-green-lunge-line; corn-blue-red-lunge-line; deep-grey-deep-red-lunge-line; rose-gold-glamour-lunge-line","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Tail Protector",4,"black-lycra-tail-bag; navy-lycra-tail-bag; royal-blue-lycra-tail-bag; purple-lycra-tail-bag","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Back Protectors",4,"vipa-iii-level-3-body-protector; vipa-level-1-body-protector; vipa-ii-jockey-level-2-body-protector; vipa-ii-level-2-body-protector-drivers-and-passengers-only","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Grackle Bridle",4,"ava-grackle-bridle-with-sheepskin-no-reins; fancy-stitch-padded-grackle-bridle; deluxe-fancy-stitch-padded-grackle-bridle; fancy-stitch-traditional-grackle-bridle","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Medical Supplies",4,"cetrigen-antibacterial-wound-spray; white-healer®; equitex-medicated-poultice-dressing; iodine-10-pvp-solution-500ml","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Tank",4,"essential-tank-navy; essential-tank-black; essential-tank-black-first-edition; essential-tank-navy-first-edition","on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); jnk-collective (JNK Collective)"
"Strapping - Strapping Accessories",3,"kentucky-sheepskin-noseband-cover; kentucky-sheepskin-breastplate-cover; kentucky-stallion-chain","trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); kentucky (Shop Kentucky Horsewear - Boots, Pads, Bonnets, Girths, Bandages & More); globo_basis_collection (Globo basis collection - Do not delete); strapping (Bridles & Strapping - Top Brands For All Disciplines); horse-halters (Shop Horse Halters)"
"Fetlock boots",3,"anky-new-technical-proficient-boot; kentucky-vegan-sheepskin-young-horse-fetlock-boots; kentucky-young-horse-fetlock-boots-1","horse-boots (Horse Boots - All Types); dapple-eq (Dapple EQ); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); anky (Shop ANKY)"
"Overreach Boots",3,"kentucky-air-tech-overreach-boots; kentucky-leather-overreach-bell-boots; sheepskin-overreach-boots","horse-boots (Horse Boots - All Types); dapple-eq (Dapple EQ); kentucky (Shop Kentucky Horsewear - Boots, Pads, Bonnets, Girths, Bandages & More); globo_basis_collection (Globo basis collection - Do not delete)"
"Pet Supplements",3,"in-sideout-cat-formula-pre-probiotic-nutraceutical-supplement-for-cats; in-sideout-dog-formula-pre-probiotic-natural-nutraceutical-supplement-for-dogs; pooch-puree-for-both-mature-younger-dogs","horse-health (Horse Health & Nutrition); pets (Pets - Products For Dogs, Cats, & Other Small Animals); eac-animal-care (EAC Animal Care); globo_basis_collection (Globo basis collection - Do not delete); on-sale (On Sale - Discount On The Best Brands & Gear)"
"Boys Show Shirt",3,"animo-ss20-boys-amleto-competition-polo; animo-anice-boys-show-shirt-amaranto-only; animo-arduin-boys-shirt","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); dapple-eq (Dapple EQ); animo (Shop Animo Equestrian Gear); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete)"
"Apparel & Accessories",3,"equiline-steve-childrens-competition-jacket; animo-amburgo-mens-shirt; anky-long-sleeve-polo","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); dapple-eq (Dapple EQ); equiline (Shop Equiline Equestrian Gear); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); anky (Shop ANKY)"
"Gift Set",3,"horse-themed-cushion-cover-45cm-style-1; horse-themed-cushion-cover-45cm-style-2; horse-themed-cushion-cover-45cm-style-3","horse-jewellery (Horse Jewellery - Equine & Equestrian Themed); living-horse-tales-jewellery-by-monika (Living Horse Tales Jewellery By Monika); globo_basis_collection (Globo basis collection - Do not delete)"
"Fob",3,"stitched-leather-and-stainless-steel-horsehair-keyring-fob-with-charm; stitched-leather-and-stainless-steel-keyring-fob-with-charm; stainless-steel-leather-keyring-fob-with-horse-charm","horse-jewellery (Horse Jewellery - Equine & Equestrian Themed); living-horse-tales-jewellery-by-monika (Living Horse Tales Jewellery By Monika); globo_basis_collection (Globo basis collection - Do not delete); on-sale (On Sale - Discount On The Best Brands & Gear)"
"Rings",3,"ss13-silver-ring-dome-w-decorative-edging; ss15-silver-ring-square-hammered; ss20-silver-stacked-w-h-h-logo-ring","horse-jewellery (Horse Jewellery - Equine & Equestrian Themed); hitchley-harrow (Hitchley & Harrow); globo_basis_collection (Globo basis collection - Do not delete)"
"Tailbag",3,"cotton-ripstop-tailbags; cotton-drill-tailbags; flagcloth-tailbag","horse-rugs (Horse Rugs - All Types); diamond-deluxe-horsewear (Diamond Deluxe Horsewear); globo_basis_collection (Globo basis collection - Do not delete)"
"Gifts",3,"zilco-girth-with-black-fleece; thomas-cook-farm-mug; hairy-pony-candle-gift-series","trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); zilco (Shop Zilco Rugs, Horse Boots & Accessories); globo_basis_collection (Globo basis collection - Do not delete)"
"Stirrup Leathers",3,"aintree-stitched-stirrup-leather; stirrup-leathers-nappa-leather; premium-stirrup-leathers","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); strapping (Bridles & Strapping - Top Brands For All Disciplines); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); globo_basis_collection (Globo basis collection - Do not delete); stirrups (Shop Horse Riding Stirrups & Leathers); tacklet (Tacklet)"
"Saddle Pads & Blankets",3,"cavallo-heather-saddle-pad; cavallo-helaine-saddle-pad; penelope-lyona-saddle-pad","saddle-pads (Saddle Blankets, Pads & Squares); little-equine-co (Little Equine Co); cavallo (Shop Cavallo Products); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); dapple-eq (Dapple EQ); penelope-leprovost (Shop Penelope Leprovost Equestrian Gear & Apparel)"
"Bird Assorted",3,"bird-harness-leash-aviator-black-small; shellgrit-fine-5kg; shellgrit-medium-5kg","ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); birds (Shop Birds - Feed, Treats, Accessories, Supplies)"
"STABLE: Jumps & Markers",3,"dressage-arena-cones-4-piece; dressage-arena-marker-set-8; dressage-arena-marker-set-4-p-r-v-s","ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete)"
"CLOTHING: Oilskins",3,"outback-classic-oilskin-riding-coat-with-hood-brown; outback-oilskin-short-coat-brown; outback-low-rider-oilskin-3-4-length-coat-brown","ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); pets (Pets - Products For Dogs, Cats, & Other Small Animals); on-sale (On Sale - Discount On The Best Brands & Gear)"
"Ankle Boots",3,"secchiari-classic-ankle-boots-with-laces; secchiari-grained-leather-classic-ankle-boots-with-laces; secchiari-classic-zip-ankle-boots-with-elastic","dapple-eq (Dapple EQ); globo_basis_collection (Globo basis collection - Do not delete)"
"Outerwear",3,"adaptable-jacket; elite-jacket-limited-edition; lightweight-waterproof-long-jacket-black","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); jnk-collective (JNK Collective)"
"Hay Net",3,"horze-heavy-duty-haynet-black; deluxe-jute-hayfeeder-bag; eureka-hay-net-bold-34","globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld)"
"Gear Bag",3,"ariat-team-tall-boot-bag-navy; zilco-bling-bridle-bag; pvc-gear-bag-medium-black-grey","ariat (Shop & Buy Ariat Clothing & Footwear); globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld); zilco (Shop Zilco Rugs, Horse Boots & Accessories); on-sale (On Sale - Discount On The Best Brands & Gear)"
"Cotton Rugs",3,"eurohunter-grand-national-light-ii-combo; eurohunter-grand-national-light-ii-rug; eurohunter-cool-air-combo","globo_basis_collection (Globo basis collection - Do not delete); eurohunter (Shop Eurohunter Equestrian Gear & Accessories); shire-saddleworld (Shire Saddleworld); on-sale (On Sale - Discount On The Best Brands & Gear)"
"Chaps",3,"eurohunter-leather-chaps; jodz-airmesh-chapettes; eurohunter-clarino-chapettes","on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); eurohunter (Shop Eurohunter Equestrian Gear & Accessories); shire-saddleworld (Shire Saddleworld); zilco (Shop Zilco Rugs, Horse Boots & Accessories)"
"Bell boots",3,"horze-overreach-boots-no-turn; horze-probell-boots; grainge-golden-fleece-bell-boot","globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld)"
"Rug Accessories",3,"eurohunter-grand-national-light-ii-hood; eurohunter-padded-taffetta-chest-bib; comforce-shoulder-rug-black","globo_basis_collection (Globo basis collection - Do not delete); eurohunter (Shop Eurohunter Equestrian Gear & Accessories); shire-saddleworld (Shire Saddleworld)"
"Headpiece",3,"anatomic-monocrown-headpiece; poll-protector-mr-feel-warm; anatomic-broad-headpiece-double-bridle","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Studs",3,"studs-for-wet-deep-boggy-ground-set-of-4; studs-for-soft-deep-ground-set-of-4; studs-for-soft-ground-set-of-4","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Bridle Strapping",3,"throat-lash-flat-strap; cheek-straps-flat; cheek-pieces-with-buckle-fastenings","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Donation",3,"rspca-victoria; kindness-contribution; donation","eac-animal-care (EAC Animal Care); globo_basis_collection (Globo basis collection - Do not delete)"
"Boots - Boot Accessories",2,"ariat-team-tall-boot-bag; tucci-boot-cream","footwear (Horse Riding Boots & Footwear, Trainers, Workers); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); luggage (Luggage For The Horse Rider); ariat (Shop & Buy Ariat Clothing & Footwear); globo_basis_collection (Globo basis collection - Do not delete)"
"Girls Shirt",2,"animo-bianca-girls-competition-shirt; animo-biky-girls-competition-shirt","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); dapple-eq (Dapple EQ); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete)"
"Mens Competition Jacket",2,"animo-ikko-mens-competition-jacket; animo-ss20-mens-isla-competition-jacket","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); dapple-eq (Dapple EQ); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); animo (Shop Animo Equestrian Gear)"
"TShirt",2,"dapple-tees; animo-fibi-ladies-t-shirt","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); dapple-eq (Dapple EQ); globo_basis_collection (Globo basis collection - Do not delete); on-sale (On Sale - Discount On The Best Brands & Gear)"
"Hatband",2,"horsehair-braided-hatband-with-tassles-and-adjustable-waxed-cord-slider; thin-horsehair-or-cattle-braided-hatband-with-adjustable-sliding-tassle","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); horse-jewellery (Horse Jewellery - Equine & Equestrian Themed); living-horse-tales-jewellery-by-monika (Living Horse Tales Jewellery By Monika); globo_basis_collection (Globo basis collection - Do not delete); on-sale (On Sale - Discount On The Best Brands & Gear)"
"Locket",2,"stainless-steel-memory-locket-with-engraved-disc; paw-fur-memorial-keepsake-locket","horse-jewellery (Horse Jewellery - Equine & Equestrian Themed); living-horse-tales-jewellery-by-monika (Living Horse Tales Jewellery By Monika); globo_basis_collection (Globo basis collection - Do not delete)"
"Charm Bead",2,"sterling-silver-heart-horseshoe-bead; sterling-silver-horseshoe-beads","horse-jewellery (Horse Jewellery - Equine & Equestrian Themed); living-horse-tales-jewellery-by-monika (Living Horse Tales Jewellery By Monika); globo_basis_collection (Globo basis collection - Do not delete)"
"Log Book Cover",2,"log-book-cover-cognac; log-book-cover-tan","horse-books (Books - Fiction & Non Fiction); hitchley-harrow (Hitchley & Harrow); globo_basis_collection (Globo basis collection - Do not delete)"
"Sale",2,"deluxe-quilted-wool-rug; cotton-dril-rug-53","horse-rugs (Horse Rugs - All Types); diamond-deluxe-horsewear (Diamond Deluxe Horsewear); globo_basis_collection (Globo basis collection - Do not delete)"
"Ladies Top",2,"cavallo-dora-sleeveless-top; cavallo-fleur-sleeveless-polo-in-blue-violet","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); little-equine-co (Little Equine Co); cavallo (Shop Cavallo Products); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete)"
"Riding Jacket",2,"cavallo-ganim-short-tail-coat; cavallo-ganim-short-tail-coat-with-nailheads-on-collar","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); little-equine-co (Little Equine Co); globo_basis_collection (Globo basis collection - Do not delete)"
"Exercise Boots",2,"cavallo-habor-hardshell-fetlock-boot; cavallo-holda-hardshell-tendon-boots","horse-boots (Horse Boots - All Types); little-equine-co (Little Equine Co); cavallo (Shop Cavallo Products); globo_basis_collection (Globo basis collection - Do not delete)"
"Gift Card",2,"gift-cards; gift-card","little-equine-co (Little Equine Co); globo_basis_collection (Globo basis collection - Do not delete); horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); qj-riding-wear (QJ Riding Wear)"
"Men's",2,"cavallo-elmo-mens-sweater; cavallo-faiz-mens-quilted-vest","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); little-equine-co (Little Equine Co); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete)"
"RIDER: Hats & Caps",2,"ariat-cap-tri-factor-uni-milky-blue; wrangler-cap-brando-trucker-grey-marle","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); ascot-saddlery (Ascot Saddlery); ariat (Shop & Buy Ariat Clothing & Footwear); globo_basis_collection (Globo basis collection - Do not delete); on-sale (On Sale - Discount On The Best Brands & Gear)"
"STABLE: Horse Feed",2,"barastoc-complete-performer-20kg-1; green-valley-grains-lupins-cracked-20kg","ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete)"
"Accessories - Luggage",2,"ariat-gear-bag; kentucky-horsewear-chestnut-backpack","trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); luggage (Luggage For The Horse Rider); ariat (Shop & Buy Ariat Clothing & Footwear); globo_basis_collection (Globo basis collection - Do not delete); kentucky (Shop Kentucky Horsewear - Boots, Pads, Bonnets, Girths, Bandages & More)"
"casual footwear",2,"animo-zircone-ladies-boots; animo-zea-ankle-boots","dapple-eq (Dapple EQ); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete)"
"helmet",2,"vibrant-equestrian-helmet-custom-text; vibrant-equestrian-grand-prix-helmet","horse-riding-helmets (Buy Horse Riding Helmets For Equestrians); vibrant-equestrian (Vibrant Equestrian); globo_basis_collection (Globo basis collection - Do not delete)"
"Footwear & Chaps",2,"elt-boots-zip-up-short; elt-boots-san-remo-long-brown","top-brands (Top Brands); globo_basis_collection (Globo basis collection - Do not delete); elt (ELT  Equestrian)"
"T-Shirt",2,"anna-scarpati-t-shirt-format-23t; cavallo-cavalnahal-t-shirt","little-equine-co (Little Equine Co); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); anna-scarpati (Shop Anna Scarpati)"
"Sleepwear",2,"loletta-womens-satin-horse-print-pyjamas; loletta-gallops-to-garlands-womens-pyjamas-by-ippico-equestrian","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); ippico-equestrian (Ippico Equestrian)"
"belts",2,"elasticised-qj-belts; snaffle-belt","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); globo_basis_collection (Globo basis collection - Do not delete); qj-riding-wear (QJ Riding Wear)"
"stock",2,"qj-stock-with-pin; qj-stocks","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); globo_basis_collection (Globo basis collection - Do not delete); qj-riding-wear (QJ Riding Wear)"
"cap",2,"qj-caps; sun-visor","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); globo_basis_collection (Globo basis collection - Do not delete); qj-riding-wear (QJ Riding Wear)"
"Ultimate Tights",2,"ultimate-riding-tights-black; ultimate-riding-tights-grey","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); jnk-collective (JNK Collective)"
"hats",2,"will-bear-william-black; will-bear-william-cream","dapple-eq (Dapple EQ); globo_basis_collection (Globo basis collection - Do not delete)"
"Handbag",2,"tote-patchwork-shopping-tote-st11; bamboo-handle-buckskin","hitchley-harrow (Hitchley & Harrow); globo_basis_collection (Globo basis collection - Do not delete)"
"Leggings",2,"leggings; essential-leggings-black","on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); jnk-collective (JNK Collective)"
"Beanie",2,"cavallo-cavalgefion-knitted-beanie; cavallo-cavalgaara-knitted-beanie","little-equine-co (Little Equine Co); globo_basis_collection (Globo basis collection - Do not delete)"
"Other",2,"horsehair-heart-memorial-keepsake; horseshoe-wedding-frame-gift","living-horse-tales-jewellery-by-monika (Living Horse Tales Jewellery By Monika); globo_basis_collection (Globo basis collection - Do not delete)"
"Stockwhip",2,"stockmaster-redhide-stockwhip-6x4; ezy-ride-stock-whip-redhide-4","globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld)"
"Mesh Rug",2,"zilco-economy-mesh-combo; eurohunter-light-protect","zilco (Shop Zilco Rugs, Horse Boots & Accessories); globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld); eurohunter (Shop Eurohunter Equestrian Gear & Accessories)"
"Flag Rug",2,"eurohunter-cool-protect-hooded-combo; eurohunter-flag-protect","globo_basis_collection (Globo basis collection - Do not delete); eurohunter (Shop Eurohunter Equestrian Gear & Accessories); shire-saddleworld (Shire Saddleworld)"
"Insect Repellent",2,"hm-oilskin-spray-w-insect-repel-375ml; oilskin-reproofer-spray-w-insect-repellant-375ml","globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld)"
"Footwear Accessories",2,"eurohunter-boot-jack-blue; boot-brush-cleaner-wooden","globo_basis_collection (Globo basis collection - Do not delete); eurohunter (Shop Eurohunter Equestrian Gear & Accessories); shire-saddleworld (Shire Saddleworld); on-sale (On Sale - Discount On The Best Brands & Gear)"
"Travel",2,"eurohunter-travel-boots; tail-wrap-padded-w-velcro-black","globo_basis_collection (Globo basis collection - Do not delete); eurohunter (Shop Eurohunter Equestrian Gear & Accessories); shire-saddleworld (Shire Saddleworld)"
"Body Protector",2,"crw-equestrian-safety-body-protector; crw-equestrian-safety-body-protector-youth","on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld)"
"Jump Pad",2,"psos-jump-pad-classic-lotus-pink; kentucky-saddle-pad-velvet-show-jumping-mustard","on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld)"
"English Reins",2,"academy-web-reins-black-full; quality-nappa-padded-leather-reins","globo_basis_collection (Globo basis collection - Do not delete); eurohunter (Shop Eurohunter Equestrian Gear & Accessories); shire-saddleworld (Shire Saddleworld)"
"Eventing Boots",2,"horse-boot-wash-bag; air-cooled-original-eventing-boots-hind","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Float Boots",2,"travel-tech-xtra-travel-boots; airtechnology-knee-pro-tech-horse-travel-boots","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Magnetic",2,"magni-teque-magnetic-browband; magni-teque-magnetic-horse-rug-with-neck-cover","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Fly Repellant",2,"protect-relief-tropical-spray-500ml; protect-relief-paddock-spray-500ml","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Other Care Products",2,"revitalise-relax-muscle-rinse-magnesium-oil; calm-essential-oil-roller","on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Martingales",2,"draw-reins-cob-full-size; fancy-stitch-running-martingale","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Double Bridle",2,"ariana-bridle-double-no-reins; athens-luxury-leather-bridle-double-no-reins","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Anatomic Bridle",2,"mila-italian-leather-bridle-no-reins; fancy-stitch-anatomic-padded-bridle","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Cold Water/Ice Boots",2,"cold-water-compression-boots; 6-pocket-horse-ice-boots","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Resin",2,"resin-bangle-rb001-cabaret; resin-ring-rr01-cabaret","hitchley-harrow (Hitchley & Harrow); globo_basis_collection (Globo basis collection - Do not delete)"
"Sports",2,"soccer-ball; sports-bag","globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld)"
"Elite Tights",2,"elite-tights-navy-no-front-seam; elite-tights-black-no-front-seam","on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); jnk-collective (JNK Collective)"
"saddle pads",1,"acavallo-gel-half-pad-with-sheepskin-trim","saddle-pads (Saddle Blankets, Pads & Squares); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); globo_basis_collection (Globo basis collection - Do not delete); acavallo (Shop Acavallo Horse Riding Essentials)"
"Saddle cloths",1,"bamboo-saddle-pad-all-purpose","saddle-pads (Saddle Blankets, Pads & Squares); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); globo_basis_collection (Globo basis collection - Do not delete)"
"Wither relief saddlepad",1,"lemieux-wither-relief-jumping-pad","saddle-pads (Saddle Blankets, Pads & Squares); lemieux (Shop Lemieux Horse Gear & Apparel); globo_basis_collection (Globo basis collection - Do not delete); the-equestrian (The Equestrian)"
"Whips",1,"cavalleria-toscana-varsity-jacket","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); cavalleria-toscana (Shop Cavalleria Toscana Equestrian Apparel & Horse Gear); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete)"
"Travel Boots",1,"bucas-2000-travel-boots","horse-boots (Horse Boots - All Types); dapple-eq (Dapple EQ); globo_basis_collection (Globo basis collection - Do not delete)"
"ICE BOOTS",1,"kentucky-cryo-ice-boots","horse-boots (Horse Boots - All Types); dapple-eq (Dapple EQ); kentucky (Shop Kentucky Horsewear - Boots, Pads, Bonnets, Girths, Bandages & More); globo_basis_collection (Globo basis collection - Do not delete)"
"Horse Boots & Leg Wraps",1,"new-technical-bell-boots","horse-boots (Horse Boots - All Types); dapple-eq (Dapple EQ); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); anky (Shop ANKY)"
"Scarf",1,"luxx-eq-silk-scarves","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); dapple-eq (Dapple EQ); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete)"
"ladies jacket",1,"animo-laria-ladies-jacket","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); dapple-eq (Dapple EQ); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete)"
"Girls Competition Jacket",1,"animo-loria-girls-competition-jacket","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); dapple-eq (Dapple EQ); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete)"
"Mens Breeches",1,"animo-ss20-marlon-mens-breeches","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); dapple-eq (Dapple EQ); animo (Shop Animo Equestrian Gear); on-sale (On Sale - Discount On The Best Brands & Gear); breeches (Horse Riding Breeches - Quality International & National Brands); globo_basis_collection (Globo basis collection - Do not delete)"
"long sleeve",1,"anky-longsleeve-polo","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); dapple-eq (Dapple EQ); on-sale (On Sale - Discount On The Best Brands & Gear); base-layers (Shop Horse Riding Base Layers); globo_basis_collection (Globo basis collection - Do not delete); anky (Shop ANKY)"
"Trousers",1,"animo-nirce-trousers","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); dapple-eq (Dapple EQ); animo (Shop Animo Equestrian Gear); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete)"
"Bookmarks",1,"bookmarks-with-horse-tail-hair","horse-jewellery (Horse Jewellery - Equine & Equestrian Themed); horse-books (Books - Fiction & Non Fiction); living-horse-tales-jewellery-by-monika (Living Horse Tales Jewellery By Monika); globo_basis_collection (Globo basis collection - Do not delete)"
"keyring",1,"braided-horsehair-key-bag-clip","horse-jewellery (Horse Jewellery - Equine & Equestrian Themed); living-horse-tales-jewellery-by-monika (Living Horse Tales Jewellery By Monika); globo_basis_collection (Globo basis collection - Do not delete)"
"tie",1,"concho-with-horsehair","horse-jewellery (Horse Jewellery - Equine & Equestrian Themed); living-horse-tales-jewellery-by-monika (Living Horse Tales Jewellery By Monika); globo_basis_collection (Globo basis collection - Do not delete)"
"Gift Certificates",1,"gift-certificates-physical","horse-jewellery (Horse Jewellery - Equine & Equestrian Themed); living-horse-tales-jewellery-by-monika (Living Horse Tales Jewellery By Monika); globo_basis_collection (Globo basis collection - Do not delete)"
"Book",1,"know-your-horse-a-medical-first-aid-record-book","horse-jewellery (Horse Jewellery - Equine & Equestrian Themed); horse-books (Books - Fiction & Non Fiction); living-horse-tales-jewellery-by-monika (Living Horse Tales Jewellery By Monika); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete)"
"bead",1,"pandora-style-sterling-silver-horsehair-keepsake-troll-beads","horse-jewellery (Horse Jewellery - Equine & Equestrian Themed); living-horse-tales-jewellery-by-monika (Living Horse Tales Jewellery By Monika); globo_basis_collection (Globo basis collection - Do not delete)"
"Custom Orders",1,"pearl-and-gold-beaded-handmade-custom-horse-hair-bracelet","horse-jewellery (Horse Jewellery - Equine & Equestrian Themed); living-horse-tales-jewellery-by-monika (Living Horse Tales Jewellery By Monika); globo_basis_collection (Globo basis collection - Do not delete)"
"Equestrian Helmets",1,"suomy-apex-chrome-blue-navy-lady-glossy","dapple-eq (Dapple EQ); globo_basis_collection (Globo basis collection - Do not delete)"
"Spurs & Straps - Spurs Accessories",1,"kieffer-spur-straps","footwear (Horse Riding Boots & Footwear, Trainers, Workers); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); globo_basis_collection (Globo basis collection - Do not delete)"
