trailrace_item_id,trailrace_title,trailrace_price_aud,trailrace_clicks,trailrace_impressions,trailrace_cost_aud,trailrace_conversion_value_aud,trailrace_roas,trailrace_paid_label
shopify_au_4548323541050_42062330921179,ThinLine Endurance Wax Tough Rider Pad Tan,489.95,8,662.0,9.07,33.55,3.7,tr_c
shopify_au_480689324055_3864147099671,Charles Owen 4 Star - Riding Helmet Black / 58cm,579.0,27,0.0,17.89,33.0,1.84,tr_c
shopify_au_8403002654939_45338026508507,Samshield Luana Seemless Shirt-SS24 Black / Extra Small,140.0,9,486.0,9.49,32.56,3.43,tr_c
shopify_au_8314354303195_45078008430811,Samshield Miss Shield Glossy 2.0 Black / Medium,899.0,132,0.0,99.17,31.72,0.32,tr_c
shopify_au_8304580034779_45030339936475,Lami-Cell Titanium Hood with Ears Small,139.95,6,498.0,3.29,31.29,9.51,tr_c
shopify_au_7991725555931_44007646527707,Samshield Berenice Zip Hoodie Mauve / Medium,319.0,3,106.0,4.55,31.22,6.86,tr_c
shopify_au_8322073002203_45112097603803,Samshield Berenice Zip Hoodie - SS24 Black / Medium,319.0,1,129.0,2.75,31.22,11.35,tr_c
shopify_au_8685853343963_46031050834139,Samshield Suzanne Pullover - FW24 Grey / Medium,300.0,2,101.0,4.79,31.22,6.52,tr_c
shopify_au_9014730162395_47818114957531,Samshield Chamonix Light Puffer Vest - FW25 Navy / Medium,470.0,7,226.0,6.77,31.22,4.61,tr_c
shopify_au_9014731342043_47818122526939,Samshield Evelya Training Top - FW25 Black / Medium,279.0,1,77.0,3.81,31.22,8.19,tr_c
shopify_au_490570940439_4030856232983,Drop Nose Band | Equipe Black / Full,109.95,10,587.0,34.77,30.98,0.89,tr_c
shopify_au_4476283289658_31654199066682,Loose Ring Bradoon Full,33.95,5,258.0,3.29,30.86,9.38,tr_c
shopify_au_490578182167_4030998183959,Stud Girth Base | Equipe Brown / 130cm,299.95,4,200.0,2.62,30.47,11.63,tr_c
shopify_au_9175754997979_48315649687771,Aintree Leather Grip Crop - 65cm Black,29.95,4,144.0,0.94,29.95,31.86,tr_c
shopify_au_7106678751420_40740742267068,Lami-Cell V22 Open Hind Boots Brown / Large,131.95,1,104.0,1.18,28.96,24.54,tr_c
shopify_au_490579230743_4031019450391,Halter | Equipe Brown/Ecru / Full,199.95,5,363.0,8.98,28.33,3.15,tr_c
